sample_size,sample_method,kernel,alpha,MSE of GPR,MSE of LS Paraboloid Fit,Integral Absolute Error of GPR,Integral Absolute Error of LS Paraboloid Fit
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.01,0.0006193171840630917,0.002031889754522105,1.783211721800758,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1,0.013735039650072767,0.002031889754522105,8.81322685778957,3.447983411154678
20,systematic,"1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.00035693853032362605,0.002031889754522105,1.2365509483859018,3.447983411154678
20,systematic,"0.1**2 * RBF(length_scale=[0.1, 1.8e+06])",10,0.1696197499173259,0.002031889754522105,34.579377758333415,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.0001,0.0006833379068811993,0.002031889754522105,1.8619801575808195,3.447983411154678
20,systematic,"22.4**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-07,0.0009789521099207053,0.002031889754522105,2.1508405193215174,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-08,0.000979556856166919,0.002031889754522105,2.1510781967727226,3.447983411154678
20,systematic,"0.0316**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.000356938446833158,0.002031889754522105,1.236550804312822,3.447983411154678
20,systematic,"0.0316**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.0003569385179982121,0.002031889754522105,1.2365509075423768,3.447983411154678
20,systematic,"0.0316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-06,0.0009731555301545014,0.002031889754522105,2.1484563285271774,3.447983411154678
20,systematic,"0.0316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-20,0.0009796243463846203,0.002031889754522105,2.151104608948135,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.0003569384317024229,0.002031889754522105,1.2365507717604511,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-09,0.000979617620385703,0.002031889754522105,2.1511019621407357,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-05,0.000928277847672098,0.002031889754522105,2.1246065553327194,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-10,0.0009796237202115976,0.002031889754522105,2.1511043029348285,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",100,0.16962144300162704,0.002031889754522105,34.57957240897296,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-15,0.000979624358595796,0.002031889754522105,2.1511046031048453,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.00035693841118535687,0.002031889754522105,1.2365506749511384,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",1,0.013735041218472464,0.002031889754522105,8.813227483726006,3.447983411154678
